NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other,Date
-0.0106,-0.0282,-0.0022,0.0305,-0.012,0.0054,-0.0564,0.0078000000000000005,-0.0215,-0.0026,1973-03-01
-0.061900000000000004,-0.0519,-0.044000000000000004,-0.0098,-0.0665,0.0088,-0.085,-0.054900000000000004,-0.006,-0.0775,1973-04-01
-0.0212,-0.04190000000000001,-0.011399999999999999,-0.0353,-0.026000000000000002,-0.008199999999999999,-0.022099999999999998,0.010700000000000001,0.0036,-0.049800000000000004,1973-05-01
-0.034300000000000004,-0.0253,-0.0034999999999999996,0.0163,-5e-4,-0.0032,-0.0575,0,-0.024900000000000002,-0.0025,1973-06-01
0.07440000000000001,0.0727,0.0664,0.003,0.0495,-0.0032,0.1116,0.0687,-0.0239,0.0956,1973-07-01
-0.0333,-0.0395,-0.0147,-0.0379,-0.0369,-0.0391,-0.0416,-0.0689,-0.021,-0.023,1973-08-01
0.059000000000000004,0.0781,0.045599999999999995,0.09210000000000002,-0.028399999999999998,0.0765,0.07200000000000001,0.0078000000000000005,0.079,0.0723,1973-09-01
-0.0225,-0.0434,0.0044,0.051699999999999996,0.0391,-0.0554,-0.0366,0.0183,-0.0339,-0.0102,1973-10-01
-0.1431,-0.161,-0.1425,-0.061900000000000004,-0.1143,-0.019,-0.1892,-0.0775,-0.11599999999999999,-0.13449999999999998,1973-11-01
-0.0155,-0.037599999999999995,0.0128,0.0867,-0.0432,0.0455,-0.0022,-0.0447,0.0342,0.024900000000000002,1973-12-01
0.024300000000000002,0.060899999999999996,0.0040999999999999995,-0.0746,0.0124,0.02,0.06709999999999999,-0.0256,0.0455,0.011399999999999999,1974-01-01
7.000000000000001e-4,-0.0108,1e-4,-0.0155,-0.006,0.0475,0.008,-0.0123,0.0029,0.0102,1974-02-01
-0.0189,-9e-4,-0.0076,-0.032400000000000005,-0.0271,-0.045899999999999996,-0.031200000000000002,0.012199999999999999,-0.0364,-0.0363,1974-03-01
-0.0369,-0.0409,-0.0204,-0.06309999999999999,-0.0363,-0.053099999999999994,-0.0197,-0.0148,-0.1219,-0.0637,1974-04-01
-0.0288,0.0042,-0.0253,-0.0747,-0.042,-0.0152,0.0121,-0.0011,-0.049,-0.08439999999999999,1974-05-01
-0.005600000000000001,-0.0263,-0.0040999999999999995,-0.003,-0.0294,0.003,-0.027200000000000002,-0.0161,-0.061799999999999994,-0.055,1974-06-01
-0.1015,-0.1186,-0.0716,-0.0052,-0.08220000000000001,-0.07629999999999999,-0.1281,-0.14150000000000001,0.0077,-0.0661,1974-07-01
-0.1016,-0.0662,-0.1013,-0.08560000000000001,-0.049,-1e-4,-0.1305,-0.08039999999999999,-0.0862,-0.10619999999999999,1974-08-01
-0.12179999999999999,-0.1292,-0.1285,-0.0795,-0.16899999999999998,-0.038,-0.12279999999999999,-0.15560000000000002,-0.0131,-0.0962,1974-09-01
0.1566,0.044800000000000006,0.1605,0.2078,0.1472,0.1085,0.1001,0.2958,0.1301,0.20190000000000002,1974-10-01
-0.0385,-0.046900000000000004,-0.0592,-0.0424,-0.049400000000000006,-0.030899999999999997,-0.0574,-0.012199999999999999,-0.0013,-0.0277,1974-11-01
-0.005600000000000001,-0.0408,-0.044500000000000005,0.0083,-0.0525,0.015700000000000002,-0.0336,-0.0332,-0.008100000000000001,-0.0435,1974-12-01
0.18710000000000002,0.215,0.1451,0.0677,0.153,0.1109,0.25920000000000004,-0.0074,0.188,0.1789,1975-01-01
